
"Report 1"

"CTL_CLAIM_NO","CTL_CLAIM_DATE","CTL_MACHINE_MODEL","CTL_MACHINE_TYPE","CTL_MACHINE_SUBTYPE","CTL_MACHINE_SERIAL","CTL_DELIVERY_DATE","CTL_FAILURE_DATE","CTL_CORRECTED_DATE","CTL_CAUSE_OF_FAILURE","CTL_ETSI","CTL_FC_NO","CLAIM_CATEGORY","BASE_APP_PARTS_AMOUNT","BASE_APP_LABOR_AMOUNT","BASE_APP_MILEAGE_AMOUNT","BASE_APP_OTHER_AMOUNT","BASE_APP_TOTAL_AMOUNT","PARTS_NBR","PARTS_NAME","PARTS_QTY","PARTS_UNIT_PRICE"
"20388  ","20210112","PC60       "," 8","  ","         10226","20200522","20200910","20201202","J180MA","AMSMX202010090 ","         ","T","1,825.84","26.6","75.96","0","1,928.4","07000-11008         ","O-RING         ","1","0.88"
"20388  ","20210112","PC60       "," 8","  ","         10226","20200522","20200910","20201202","J180MA","AMSMX202010090 ","         ","T","1,825.84","26.6","75.96","0","1,928.4","07000-12050         ","O-RING         ","1","2.5"
"20388  ","20210112","PC60       "," 8","  ","         10226","20200522","20200910","20201202","J180MA","AMSMX202010090 ","         ","T","1,825.84","26.6","75.96","0","1,928.4","708-3T-04620        ","PUMP ASS'Y     ","1","1,822.46"
"20394  ","20210114","PC210      ","10","M0","        C00252","20200207","20201212","20210108","DJG2MA","AMSMX202010097 ","         ","W","123.59","7.98","5.76","0","137.33","600-311-3722        ","SENSOR         ","2","123.59"
"20401  ","20210118","PC210      ","10","M0","        C00214","20200122","20201120","20210113","0100MA","AMSMX202012009 ","         ","W","44.85","10.64","36.9","0","92.39","6754-21-5770        ","GAUGE          ","2","44.85"
"20404  ","20210120","D155A      "," 6","  ","         87490","20181218","20201117","20210114","D811MA","AMSMX202011047 ","         ","X","855.72","15.96","16.2","0","887.88","7826-25-4656        ","*CONTROLLER   *","2","855.72"
"20405  ","20210119","PC210LC    ","10","M0","        C00875","20200204","20201218","20210117","0100MA","AMSMX202012038 ","         ","W","44.85","10.64","5.94","0","61.43","6754-21-5770        ","GAUGE          ","2","44.85"
"21003  ","20210208","PC130      "," 8","  ","         88797","20190319","20191127","20210113","2500GA","AMSMX202001016 ","T20A026  ","F","259.05","340.32","0","537.26","1,136.63","04020-01434         ","DOWEL PIN      ","4","2.02"
"21003  ","20210208","PC130      "," 8","  ","         88797","20190319","20191127","20210113","2500GA","AMSMX202001016 ","T20A026  ","F","259.05","340.32","0","537.26","1,136.63","CM-0002-GRPOT       ","*GREASE / PAIL*","2","153.33"
"21003  ","20210208","PC130      "," 8","  ","         88797","20190319","20191127","20210113","2500GA","AMSMX202001016 ","T20A026  ","F","259.05","340.32","0","537.26","1,136.63","HO-46-CF-20L-PCP    ","*HO46 IN PAIL *","2","101.68"
"21004  ","20210120","HD785      "," 7","  ","         33062","20191210","20201013","20210106","B@E2AA","AMSMX202010071 ","         ","W","5,389.05","21.28","0","0","5,410.33","07000-12080         ","O-RING         ","4","1.09"
"21004  ","20210120","HD785      "," 7","  ","         33062","20191210","20201013","20210106","B@E2AA","AMSMX202010071 ","         ","W","5,389.05","21.28","0","0","5,410.33","07000-12125         ","O-RING         ","2","4.21"
"21004  ","20210120","HD785      "," 7","  ","         33062","20191210","20201013","20210106","B@E2AA","AMSMX202010071 ","         ","W","5,389.05","21.28","0","0","5,410.33","07000-13045         ","O-RING         ","2","2.75"
"21004  ","20210120","HD785      "," 7","  ","         33062","20191210","20201013","20210106","B@E2AA","AMSMX202010071 ","         ","W","5,389.05","21.28","0","0","5,410.33","07000-13048         ","O-RING         ","2","2.75"
"21004  ","20210120","HD785      "," 7","  ","         33062","20191210","20201013","20210106","B@E2AA","AMSMX202010071 ","         ","W","5,389.05","21.28","0","0","5,410.33","07000-15240         ","O-RING         ","2","10.2"
"21004  ","20210120","HD785      "," 7","  ","         33062","20191210","20201013","20210106","B@E2AA","AMSMX202010071 ","         ","W","5,389.05","21.28","0","0","5,410.33","07001-05240         ","BACK-UP RING   ","2","58.98"
"21004  ","20210120","HD785      "," 7","  ","         33062","20191210","20201013","20210106","B@E2AA","AMSMX202010071 ","         ","W","5,389.05","21.28","0","0","5,410.33","561-50-81320        ","WEAR RING      ","2","1,471.12"
"21004  ","20210120","HD785      "," 7","  ","         33062","20191210","20201013","20210106","B@E2AA","AMSMX202010071 ","         ","W","5,389.05","21.28","0","0","5,410.33","561-50-81340        ","BUSHING        ","2","572.95"
"21004  ","20210120","HD785      "," 7","  ","         33062","20191210","20201013","20210106","B@E2AA","AMSMX202010071 ","         ","W","5,389.05","21.28","0","0","5,410.33","561-50-81410        ","STOPPER        ","2","369.3"
"21004  ","20210120","HD785      "," 7","  ","         33062","20191210","20201013","20210106","B@E2AA","AMSMX202010071 ","         ","W","5,389.05","21.28","0","0","5,410.33","561-50-82331        ","BUSHING        ","4","577.9"
"21004  ","20210120","HD785      "," 7","  ","         33062","20191210","20201013","20210106","B@E2AA","AMSMX202010071 ","         ","W","5,389.05","21.28","0","0","5,410.33","561-50-82360        ","U-PACKING      ","2","553.51"
"21004  ","20210120","HD785      "," 7","  ","         33062","20191210","20201013","20210106","B@E2AA","AMSMX202010071 ","         ","W","5,389.05","21.28","0","0","5,410.33","561-50-82380        ","DUST SEAL      ","2","514.14"
"21004  ","20210120","HD785      "," 7","  ","         33062","20191210","20201013","20210106","B@E2AA","AMSMX202010071 ","         ","W","5,389.05","21.28","0","0","5,410.33","561-52-61150        ","SPACER         ","4","113.67"
"21004  ","20210120","HD785      "," 7","  ","         33062","20191210","20201013","20210106","B@E2AA","AMSMX202010071 ","         ","W","5,389.05","21.28","0","0","5,410.33","707-51-21650        ","RING           ","2","443.82"
"21007  ","20210122","PC210      ","10","M0","        C01803","20200724","20210112","20210117","A7W2MA","AMSMX202001016 ","         ","W","123.59","10.64","13.68","0","147.91","600-311-3722        ","SENSOR         ","2","123.59"
"21008  ","20210122","D65EX      ","16","  ","         83154","20200921","20201219","20210119","871CMA","AMSMX202012039 ","         ","W","95.04","10.64","31.32","0","137","ND447500-4760       ","VALVE          ","2","79.45"
"21008  ","20210122","D65EX      ","16","  ","         83154","20200921","20201219","20210119","871CMA","AMSMX202012039 ","         ","W","95.04","10.64","31.32","0","137","ND949046-3100       ","BOLT           ","4","1"
"21008  ","20210122","D65EX      ","16","  ","         83154","20200921","20201219","20210119","871CMA","AMSMX202012039 ","         ","W","95.04","10.64","31.32","0","137","ND949142-0020       ","*O-RING       *","2","6.99"
"21008  ","20210122","D65EX      ","16","  ","         83154","20200921","20201219","20210119","871CMA","AMSMX202012039 ","         ","W","95.04","10.64","31.32","0","137","ND949142-0030       ","*O-RING       *","2","6.6"
"21010  ","20210122","HD785      "," 7","  ","         31266","20170131","20210106","20210106","K@A6FK","AMSMX202011058 ","         ","B","5,759.8","15.96","0","0","5,775.76","705-56-44090        ","PUMP ASS'Y     ","1","5,759.8"
"21013  ","20210126","PC200LC    "," 8","M0","        C17081","20190913","20201223","20210121","0480MA","AMSMX202012046 ","         ","P","2,138.4","5.32","16.02","0","2,159.74","20Y-04-C1033        ","PUMP           ","1","2,141.85"
"21013  ","20210126","PC200LC    "," 8","M0","        C17081","20190913","20201223","20210121","0480MA","AMSMX202012046 ","         ","P","2,141.85","5.32","16.02","0","2,163.19","20Y-04-C1033        ","PUMP           ","1","2,141.85"
"21014  ","20210128","D155A      "," 6","  ","         87379","20180707","20201215","20210122","5513AA","AMSMX202012033 ","         ","F","3,443.84","111.72","31.68","0","3,587.24","01010-81440         ","BOLT           ","16","2.54"
"21014  ","20210128","D155A      "," 6","  ","         87379","20180707","20201215","20210122","5513AA","AMSMX202012033 ","         ","F","3,443.84","111.72","31.68","0","3,587.24","01643-31445         ","WASHER         ","16","1.08"
"21014  ","20210128","D155A      "," 6","  ","         87379","20180707","20201215","20210122","5513AA","AMSMX202012033 ","         ","F","3,443.84","111.72","31.68","0","3,587.24","17A-54-46120        ","CUSHION        ","2","814.23"
"21014  ","20210128","D155A      "," 6","  ","         87379","20180707","20201215","20210122","5513AA","AMSMX202012033 ","         ","F","3,443.84","111.72","31.68","0","3,587.24","17A-54-47490        ","CUSHION        ","2","878.73"
"21014  ","20210128","D155A      "," 6","  ","         87379","20180707","20201215","20210122","5513AA","AMSMX202012033 ","         ","X","3,443.84","111.72","31.68","0","3,587.24","01010-81440         ","BOLT           ","16","2.54"
"21014  ","20210128","D155A      "," 6","  ","         87379","20180707","20201215","20210122","5513AA","AMSMX202012033 ","         ","X","3,443.84","111.72","31.68","0","3,587.24","01643-31445         ","WASHER         ","16","1.08"
"21014  ","20210128","D155A      "," 6","  ","         87379","20180707","20201215","20210122","5513AA","AMSMX202012033 ","         ","X","3,443.84","111.72","31.68","0","3,587.24","17A-54-46120        ","CUSHION        ","2","814.23"
"21014  ","20210128","D155A      "," 6","  ","         87379","20180707","20201215","20210122","5513AA","AMSMX202012033 ","         ","X","3,443.84","111.72","31.68","0","3,587.24","17A-54-47490        ","CUSHION        ","2","878.73"
"21015  ","20210128","PC200      "," 8","M0","        C22832","20190206","20210112","20210121","A7W2MA","AMSMX202101028 ","         ","P","123.59","5.32","17.1","0","146.01","600-311-3722        ","SENSOR         ","2","123.59"
"21016  ","20210129","D65EX      ","16","  ","         83180","20201222","20201222","20210121","DPA0MA","AMSMX202012045 ","         ","W","3,986.1","10.64","73.8","0","4,070.54","7831-69-5006        ","*MONITOR      *","2","3,986.1"
"21017  ","20210129","PC210LC    ","10","M0","        C00857","20200217","20210113","20210124","0325FA","AMSMX202101044 ","         ","W","95.24","15.96","5.4","0","116.6","208-03-61460        ","CAP            ","2","42.5"
"21017  ","20210129","PC210LC    ","10","M0","        C00857","20200217","20210113","20210124","0325FA","AMSMX202101044 ","         ","W","95.24","15.96","5.4","0","116.6","SYCG-AF-NACCNK      ","COOLANT 18 LTR*","2","52.74"
"21018  ","20210201","D65EX      ","16","  ","         82767","20191011","20210116","20210126","DG10MA","AMSMX202101036 ","         ","X","94.52","15.96","4.86","0","115.34","6755-81-1900        ","SENSOR         ","2","94.52"
"21019  ","20210202","PC450LC    "," 8","R ","         76531","20191217","20201103","20210128","A280FA","AMSMX202012035 ","         ","W","502.26","15.96","9.36","0","527.58","6151-21-4161        ","SEAL           ","2","193.99"
"21019  ","20210202","PC450LC    "," 8","R ","         76531","20191217","20201103","20210128","A280FA","AMSMX202012035 ","         ","W","502.26","15.96","9.36","0","527.58","HO-46-CF-20L-PCP    ","*HO46 IN PAIL *","4","101.7"
"21019  ","20210202","PC450LC    "," 8","R ","         76531","20191217","20201103","20210128","A280FA","AMSMX202012035 ","         ","W","502.26","15.96","9.36","0","527.58","TO-30-CF-20L-PSH    ","*KOMATSU POWTR*","2","104.87"
"21020  ","20210204","PC130      "," 8","  ","         88820","20190925","20201204","20210126","871DAG","AMSMX202012029 ","         ","P","474.34","37.24","16.38","0","527.96","ND446600-0992       ","EVAPORATOR     ","0","381.3"
"21020  ","20210204","PC130      "," 8","  ","         88820","20190925","20201204","20210126","871DAG","AMSMX202012029 ","         ","P","474.34","37.24","16.38","0","527.96","ND447500-4760       ","VALVE          ","0","79.45"
"21020  ","20210204","PC130      "," 8","  ","         88820","20190925","20201204","20210126","871DAG","AMSMX202012029 ","         ","P","474.34","37.24","16.38","0","527.96","ND949142-0020       ","*O-RING       *","0","6.99"
"21020  ","20210204","PC130      "," 8","  ","         88820","20190925","20201204","20210126","871DAG","AMSMX202012029 ","         ","P","474.34","37.24","16.38","0","527.96","ND949142-0030       ","*O-RING       *","0","6.6"
"21021  ","20210203","WA380      "," 6","  ","         67957","20191216","20210117","20210130","A7W2MA","AMSMX202012045 ","         ","X","123.59","10.64","18.9","0","153.13","600-311-3722        ","SENSOR         ","2","123.59"
"21022  ","20210202","D375A      "," 6","R ","         65613","20200630","20201115","20201215","A600AE","AMSMX202012012 ","         ","B","1,211.26","0","0","0","1,211.26","6240-61-1106        ","WATER PUMP ASS'","1","1,211.26"
"21022  ","20210202","D375A      "," 6","R ","         65613","20200630","20201115","20201215","A600AE","AMSMX202012012 ","         ","B","1,211.26","15.96","0","0","1,227.22","6240-61-1106        ","WATER PUMP ASS'","1","1,211.26"
"21023  ","20210202","GD825A     "," 2","  ","         13068","20200701","20201215","20201215","A601AF","AMSMX202010055 ","         ","B","1,046.72","0","0","0","1,046.72","07000-72070         ","O-RING         ","1","6.09"
"21023  ","20210202","GD825A     "," 2","  ","         13068","20200701","20201215","20201215","A601AF","AMSMX202010055 ","         ","B","1,046.72","0","0","0","1,046.72","07000-72115         ","O-RING         ","1","7.64"
"21023  ","20210202","GD825A     "," 2","  ","         13068","20200701","20201215","20201215","A601AF","AMSMX202010055 ","         ","B","1,046.72","0","0","0","1,046.72","6211-62-1404        ","WATER PUMP     ","1","1,032.99"
"21023  ","20210202","GD825A     "," 2","  ","         13068","20200701","20201215","20201215","A601AF","AMSMX202010055 ","         ","B","1,046.72","55.86","0","0","1,102.58","07000-72070         ","O-RING         ","1","6.09"
"21023  ","20210202","GD825A     "," 2","  ","         13068","20200701","20201215","20201215","A601AF","AMSMX202010055 ","         ","B","1,046.72","55.86","0","0","1,102.58","07000-72115         ","O-RING         ","1","7.64"
"21023  ","20210202","GD825A     "," 2","  ","         13068","20200701","20201215","20201215","A601AF","AMSMX202010055 ","         ","B","1,046.72","55.86","0","0","1,102.58","6211-62-1404        ","WATER PUMP     ","1","1,032.99"
"21025  ","20210203","WA380      "," 6","  ","         67979","20191223","20201006","20210128","D100MA","AMSMX202010078 ","         ","W","50.05","15.96","14.76","0","80.77","569-06-61960        ","RELAY          ","2","50.05"
"21026  ","20210203","HD785      "," 7","  ","         33077","20200212","20210125","20210125","B@E2AA","AMSMX202010073 ","         ","W","5,389.05","15.96","0","0","5,405.01","07000-12080         ","O-RING         ","4","1.09"
"21026  ","20210203","HD785      "," 7","  ","         33077","20200212","20210125","20210125","B@E2AA","AMSMX202010073 ","         ","W","5,389.05","15.96","0","0","5,405.01","07000-12125         ","O-RING         ","2","4.21"
"21026  ","20210203","HD785      "," 7","  ","         33077","20200212","20210125","20210125","B@E2AA","AMSMX202010073 ","         ","W","5,389.05","15.96","0","0","5,405.01","07000-13045         ","O-RING         ","2","2.75"
"21026  ","20210203","HD785      "," 7","  ","         33077","20200212","20210125","20210125","B@E2AA","AMSMX202010073 ","         ","W","5,389.05","15.96","0","0","5,405.01","07000-13048         ","O-RING         ","2","2.75"
"21026  ","20210203","HD785      "," 7","  ","         33077","20200212","20210125","20210125","B@E2AA","AMSMX202010073 ","         ","W","5,389.05","15.96","0","0","5,405.01","07000-15240         ","O-RING         ","2","10.2"
"21026  ","20210203","HD785      "," 7","  ","         33077","20200212","20210125","20210125","B@E2AA","AMSMX202010073 ","         ","W","5,389.05","15.96","0","0","5,405.01","07001-05240         ","BACK-UP RING   ","2","58.98"
"21026  ","20210203","HD785      "," 7","  ","         33077","20200212","20210125","20210125","B@E2AA","AMSMX202010073 ","         ","W","5,389.05","15.96","0","0","5,405.01","561-50-81320        ","WEAR RING      ","2","1,471.12"
"21026  ","20210203","HD785      "," 7","  ","         33077","20200212","20210125","20210125","B@E2AA","AMSMX202010073 ","         ","W","5,389.05","15.96","0","0","5,405.01","561-50-81340        ","BUSHING        ","2","572.95"
"21026  ","20210203","HD785      "," 7","  ","         33077","20200212","20210125","20210125","B@E2AA","AMSMX202010073 ","         ","W","5,389.05","15.96","0","0","5,405.01","561-50-81410        ","STOPPER        ","2","369.3"
"21026  ","20210203","HD785      "," 7","  ","         33077","20200212","20210125","20210125","B@E2AA","AMSMX202010073 ","         ","W","5,389.05","15.96","0","0","5,405.01","561-50-82331        ","BUSHING        ","4","577.9"
"21026  ","20210203","HD785      "," 7","  ","         33077","20200212","20210125","20210125","B@E2AA","AMSMX202010073 ","         ","W","5,389.05","15.96","0","0","5,405.01","561-50-82360        ","U-PACKING      ","2","553.51"
"21026  ","20210203","HD785      "," 7","  ","         33077","20200212","20210125","20210125","B@E2AA","AMSMX202010073 ","         ","W","5,389.05","15.96","0","0","5,405.01","561-50-82380        ","DUST SEAL      ","2","514.14"
"21026  ","20210203","HD785      "," 7","  ","         33077","20200212","20210125","20210125","B@E2AA","AMSMX202010073 ","         ","W","5,389.05","15.96","0","0","5,405.01","561-52-61150        ","SPACER         ","4","113.67"
"21026  ","20210203","HD785      "," 7","  ","         33077","20200212","20210125","20210125","B@E2AA","AMSMX202010073 ","         ","W","5,389.05","15.96","0","0","5,405.01","707-51-21650        ","RING           ","2","443.82"
"21027  ","20210204","WA380      "," 6","  ","         67829","20190124","20201117","20210201","D862KA","AMSMX202011041 ","         ","X","621.48","10.64","18.9","0","651.02","423-921-4990        ","CABLE ASS'Y    ","2","621.48"
"21028  ","20210208","D65EX      ","16","  ","         82757","20190215","20201114","20210203","871GMA","AMSMX202011015 ","         ","X","216.77","10.64","43.38","0","270.79","ND116340-7350       ","MOTOR ASS'Y    ","2","216.77"
"21029  ","20210208","PC210LC    ","10","M0","        C00050","20191212","20210127","20210203","6028N3","AMSMX202101061 ","         ","P","1,016.41","15.96","3.42","0","1,035.79","20Y-60-56280        ","ELEMENT        ","1","304.3"
"21029  ","20210208","PC210LC    ","10","M0","        C00050","20191212","20210127","20210203","6028N3","AMSMX202101061 ","         ","P","1,016.41","15.96","3.42","0","1,035.79","HO-46-CF-20L-PCP    ","*HO46 IN PAIL *","7","101.73"
"21029  ","20210208","PC210LC    ","10","M0","        C00050","20191212","20210127","20210203","6028N3","AMSMX202101061 ","         ","X","1,016.41","15.96","3.42","0","1,035.79","20Y-60-56280        ","ELEMENT        ","1","304.3"
"21029  ","20210208","PC210LC    ","10","M0","        C00050","20191212","20210127","20210203","6028N3","AMSMX202101061 ","         ","X","1,016.41","15.96","3.42","0","1,035.79","HO-46-CF-20L-PCP    ","*HO46 IN PAIL *","7","101.73"
"21030  ","20210207","D375A      "," 6","R ","         65686","20191112","20201109","20201110","DW7DNM","AMSMX202012014 ","         ","B","6,847.75","15.96","0","0","6,863.71","708-1W-00670        ","PUMP ASS'Y     ","2","6,847.75"
"21034  ","20210211","PC130      "," 8","  ","         88957","19771111","20210108","20210205","DPA0MA","AMSMX202101019 ","         ","W","4,771.27","10.64","7.02","0","4,788.93","7835-31-3018        ","*MONITOR PANEL*","2","4,771.27"
"21035  ","20210210","D155A      "," 6","  ","         87720","20200407","20210208","20210208","2710AA","AMSMX202101013 ","         ","W","903.21","26.6","0","0","929.81","07000-A5440         ","O-RING         ","2","33.86"
"21035  ","20210210","D155A      "," 6","  ","         87720","20200407","20210208","20210208","2710AA","AMSMX202101013 ","         ","W","903.21","26.6","0","0","929.81","07000-A5460         ","O-RING         ","2","34.69"
"21035  ","20210210","D155A      "," 6","  ","         87720","20200407","20210208","20210208","2710AA","AMSMX202101013 ","         ","W","903.21","26.6","0","0","929.81","17M-27-00180        ","FLOATING SEAL  ","2","834.66"
"21041  ","20210215","PC210      ","10","M0","        C00141","20191209","20201205","20210208","DLM5MA","AMSMX202012025 ","         ","W","1,980.8","21.28","6.66","0","2,008.74","20Y-01-56130        ","CLUTCH         ","2","1,980.8"
"21046  ","20210216","HD785      "," 7","  ","         33068","20200116","20201217","20210208","A1M4Z9","               ","T21M002  ","F","380.8","14.18","0","0","394.98","561-02-82151        ","ELBOW          ","4","190.4"
"21047  ","20210216","HD785      "," 7","  ","         33075","20200116","20201220","20210208","A1M4Z9","               ","T21M002  ","F","380.8","14.18","0","0","394.98","561-02-82151        ","ELBOW          ","4","190.4"
"21048  ","20210216","HD785      "," 7","  ","         33071","20200116","20201229","20210208","A1M4Z9","               ","T21M002  ","F","380.8","14.18","0","0","394.98","561-02-82151        ","ELBOW          ","4","190.4"
"21049  ","20210216","HD785      "," 7","  ","         33057","20191210","20201230","20210208","A1M4Z9","               ","T21M002  ","F","380.8","14.18","0","0","394.98","561-02-82151        ","ELBOW          ","4","190.4"
"21050  ","20210216","HD785      "," 7","  ","         33063","20191210","20201230","20210208","A1M4Z9","               ","T21M002  ","F","380.8","14.18","0","0","394.98","561-02-82151        ","ELBOW          ","4","190.4"
"21051  ","20210213","HD785      "," 7","  ","         31266","20200929","20201106","20210208","K@A6FK","AMSMX202011058 ","         ","B","5,759.8","0","0","0","5,759.8","705-56-44090        ","PUMP ASS'Y     ","1","5,759.8"
"21051  ","20210213","HD785      "," 7","  ","         31266","20200929","20201106","20210208","K@A6FK","AMSMX202011058 ","         ","B","5,759.8","15.96","0","0","5,775.76","705-56-44090        ","PUMP ASS'Y     ","1","5,759.8"
"21052  ","20210216","HD785      "," 7","  ","         33068","20200116","20201231","20210209","5725MA","AMSMX202101014 ","         ","W","512.66","15.96","0","0","528.62","GJ1140031           ","ABSORBER       ","1","512.66"
"21060  ","20210219","PC210LC    ","10","M0","        C00865","20200218","20210120","20210206","DLM5MA","AMSMX202101056 ","         ","W","1,095.88","15.96","21.42","0","1,133.26","01010-81025         ","BOLT           ","2","1.65"
"21060  ","20210219","PC210LC    ","10","M0","        C00865","20200218","20210120","20210206","DLM5MA","AMSMX202101056 ","         ","W","1,095.88","15.96","21.42","0","1,133.26","01643-31032         ","WASHER         ","2","0.63"
"21060  ","20210219","PC210LC    ","10","M0","        C00865","20200218","20210120","20210206","DLM5MA","AMSMX202101056 ","         ","W","1,095.88","15.96","21.42","0","1,133.26","20Y-06-56680        ","WIRING HARNESS ","2","146.83"
"21060  ","20210219","PC210LC    ","10","M0","        C00865","20200218","20210120","20210206","DLM5MA","AMSMX202101056 ","         ","W","1,095.88","15.96","21.42","0","1,133.26","20Y-979-5881        ","BRACKET        ","2","39.31"
"21060  ","20210219","PC210LC    ","10","M0","        C00865","20200218","20210120","20210206","DLM5MA","AMSMX202101056 ","         ","W","1,095.88","15.96","21.42","0","1,133.26","729-12-21000        ","SENSOR ASS'Y   ","4","453.73"
"21063  ","20210221","HD785      "," 7","  ","         33068","20200116","20201231","20210209","Y@JBMA","AMSMX202101016 ","         ","W","495.2","10.64","0","0","505.84","GJ1146520           ","COMPRESSOR     ","2","495.2"
"21064  ","20210222","PC210LC    ","10","M0","        C00866","20200218","20210110","20210208","8712FA","AMSMX202101035 ","         ","W","314.85","15.96","101.52","0","432.33","20Y-979-3130        ","O-RING         ","2","6.59"
"21064  ","20210222","PC210LC    ","10","M0","        C00866","20200218","20210110","20210208","8712FA","AMSMX202101035 ","         ","W","314.85","15.96","101.52","0","432.33","20Y-979-5691        ","HOSE           ","2","308.26"
"21065  ","20210222","PC210      ","10","M0","        C00143","20191227","20210105","20210211","DLM5MA","AMSMX202101012 ","         ","P","1,980.8","31.92","0","0","2,012.72","20Y-01-56130        ","CLUTCH         ","1","1,980.8"
"21065  ","20210222","PC210      ","10","M0","        C00143","20191227","20210105","20210211","DLM5MA","AMSMX202101012 ","         ","X","1,980.8","31.92","0","0","2,012.72","20Y-01-56130        ","CLUTCH         ","1","1,980.8"
"21066  ","20210218","HD785      "," 7","  ","         33068","20200116","20201231","20210209","5725MA","AMSMX202101014 ","         ","W","338.9","15.96","0","408.45","763.31","GJ1140031           ","ABSORBER       ","2","338.9"
"21067  ","20210223","PC200      "," 8","M0","        C23412","20200129","20201129","20210218","J150NQ","AMSMX202012001 ","         ","W","10,720.82","85.12","31.68","0","10,837.62","07000-12100         ","O-RING         ","2","3.81"
"21067  ","20210223","PC200      "," 8","M0","        C23412","20200129","20201129","20210218","J150NQ","AMSMX202012001 ","         ","W","10,720.82","85.12","31.68","0","10,837.62","07000-12115         ","O-RING         ","2","4.09"
"21067  ","20210223","PC200      "," 8","M0","        C23412","20200129","20201129","20210218","J150NQ","AMSMX202012001 ","         ","W","10,720.82","85.12","31.68","0","10,837.62","07000-15160         ","O-RING         ","2","8.26"
"21067  ","20210223","PC200      "," 8","M0","        C23412","20200129","20201129","20210218","J150NQ","AMSMX202012001 ","         ","W","10,720.82","85.12","31.68","0","10,837.62","07000-15195         ","O-RING         ","2","9.26"
"21067  ","20210223","PC200      "," 8","M0","        C23412","20200129","20201129","20210218","J150NQ","AMSMX202012001 ","         ","W","10,720.82","85.12","31.68","0","10,837.62","07063-11046         ","FILTER         ","2","181.37"
